nb,n,mean,p10,p25,p50,p75,p90
0,1701,0.9904446,0.9823712,0.987716,0.992163,0.99465805,0.99593264
1,5470,0.99220675,0.9859581,0.990291,0.99402,0.99620515,0.99716026
2,2882,0.99395883,0.98926175,0.9931461,0.9961847,0.9972424,0.9978447
3,2655,0.99184054,0.9906354,0.99475676,0.9965874,0.997406,0.9978979
4,2521,0.994129,0.99052835,0.9946039,0.9965569,0.99737287,0.997924
5,1462,0.9946468,0.989867,0.99417496,0.99638975,0.9973611,0.9978929
6,1115,0.99221957,0.9896115,0.9940546,0.9962632,0.99721396,0.997789
7,929,0.99385,0.9906915,0.99486697,0.996579,0.99745256,0.99794334
8,503,0.9922787,0.9905808,0.9942838,0.9966248,0.99739504,0.9979484
9,351,0.9943482,0.99226874,0.99562854,0.9968808,0.9975849,0.9979685
10,192,0.9954435,0.9911198,0.99500626,0.99646914,0.99732006,0.99787086
11,119,0.99550337,0.9898212,0.9955728,0.9967558,0.9976407,0.99808174
12,50,0.99539995,0.9918996,0.99376285,0.99655163,0.9970946,0.9979308
13,26,0.9933459,0.98409903,0.99326694,0.99593425,0.99692506,0.9971961
14,24,0.99391025,0.98761046,0.99297416,0.9958611,0.99687386,0.99796444
