nb,n,mean,p10,p25,p50,p75,p90
0,968,0.84096795,0.7705309,0.8113354,0.84829545,0.8775327,0.90203595
1,4812,0.8581507,0.7867379,0.8288988,0.8673191,0.8971125,0.9179219
2,3320,0.87675416,0.8088979,0.8521909,0.8872766,0.91246176,0.9287182
3,2994,0.88628215,0.8296756,0.8651919,0.89480954,0.91525066,0.9305509
4,2736,0.8853257,0.8291482,0.8622771,0.89341116,0.9157119,0.93131757
5,1504,0.8842246,0.8312646,0.8618572,0.8912127,0.9141006,0.9318986
6,1303,0.8859685,0.83205694,0.8624953,0.89285517,0.91633165,0.93287694
7,948,0.88968045,0.8339409,0.8668815,0.89687824,0.9192958,0.9343111
8,636,0.8875928,0.8368286,0.8657458,0.8938756,0.91631144,0.9326454
9,357,0.8879676,0.8322704,0.8709057,0.89522743,0.9189445,0.934025
10,190,0.89040446,0.8477797,0.86987114,0.8940961,0.91801715,0.93404377
11,121,0.89265454,0.8447028,0.8748134,0.9012394,0.92433655,0.9363112
12,50,0.89328605,0.85633624,0.86702526,0.8937324,0.91832864,0.9323079
13,30,0.8903328,0.83282983,0.860429,0.89663994,0.9156972,0.93638945
14,31,0.8565658,0.770747,0.8210242,0.87334096,0.902112,0.9127685
