nb,n,mean,p10,p25,p50,p75,p90
0,1701,0.019110963,0.008134647,0.010683855,0.015673026,0.024568489,0.035258044
1,5470,0.015586489,0.0056796786,0.007590693,0.011960063,0.019418664,0.028084273
2,2882,0.012082453,0.0043106466,0.0055158925,0.0076306555,0.013708262,0.021476848
3,2655,0.01631897,0.0042044898,0.0051879166,0.006825745,0.010485869,0.018729934
4,2521,0.011742128,0.004152042,0.0052547534,0.00688672,0.010792671,0.018943718
5,1462,0.010706559,0.0042144675,0.0052778022,0.007220984,0.011649981,0.020266194
6,1115,0.015560964,0.004422342,0.0055722035,0.007473936,0.011890726,0.02077687
7,929,0.012300157,0.0041140257,0.0050941687,0.0068422756,0.01026635,0.01861745
8,503,0.015442799,0.004102984,0.005209731,0.0067501785,0.011432406,0.018838339
9,351,0.011303653,0.0040621203,0.004830572,0.0062390408,0.008743126,0.015463278
10,192,0.009113093,0.0042588734,0.0053593325,0.0070615215,0.009987335,0.017760826
11,119,0.008993484,0.0038364243,0.004718716,0.006489011,0.0088547915,0.020357668
12,50,0.009200312,0.0041389484,0.0058103274,0.0068966504,0.012474164,0.016200917
13,26,0.013308288,0.0056086592,0.0061503407,0.008131778,0.013466522,0.031802315
14,24,0.0121795535,0.004070914,0.006252139,0.008278063,0.014051523,0.024779337
