nb,n,mean,p10,p25,p50,p75,p90
0,968,0.31806436,0.19592814,0.24493492,0.3034094,0.37732977,0.45893875
1,4812,0.28369868,0.16415642,0.20577529,0.26536217,0.34220275,0.4265245
2,3320,0.24649198,0.1425637,0.17507663,0.22544694,0.2956187,0.38220447
3,2994,0.22743589,0.13889869,0.16949911,0.21038122,0.26961666,0.34064913
4,2736,0.22934885,0.1373651,0.16857651,0.21317801,0.27544594,0.34170425
5,1504,0.2315511,0.1362027,0.1717988,0.21757478,0.27628583,0.33747125
6,1303,0.22806323,0.1342463,0.1673367,0.21429034,0.2750094,0.33588642
7,948,0.22063933,0.13137777,0.1614087,0.20624363,0.26623744,0.33211842
8,636,0.22481465,0.1347096,0.16737708,0.21224922,0.26850858,0.32634312
9,357,0.22406512,0.13195005,0.16211131,0.2095456,0.2581891,0.3354596
10,190,0.21919133,0.13191275,0.1639658,0.21180806,0.26025802,0.3044408
11,121,0.21469107,0.12737776,0.15132673,0.1975215,0.2503737,0.31059504
12,50,0.21342811,0.13538454,0.16334295,0.21253535,0.26594967,0.28732732
13,30,0.21933463,0.1272208,0.16860563,0.20672038,0.2791427,0.33434045
14,31,0.28686872,0.17446324,0.19577631,0.2533185,0.3579518,0.45850658
